WHO;WHAT;HOW
Human;Solution;Lab
Human;Descriptive;Data
Human;Descriptive;Respondent
Human;Solution;Respondent
Researcher;Descriptive;Meta
Human;Solution;Lab
Human;Descriptive;mixed
System;Solution;Lab
Human;Solution;Respondent
Researcher;Descriptive;mixed
Researcher;Descriptive;Meta
Researcher;Descriptive;Lab
Researcher;Descriptive;Meta
Human;Descriptive;Data
Human_Researcher;Solution;Lab
Human;Solution;Lab
Researcher;Solution;Lab
Human;Descriptive;Data
Human_Researcher;Descriptive;Data
Human;Solution;Data
Researcher;Solution;Data
Researcher;Descriptive;Respondent
Researcher;Descriptive;Field
Human;Solution;Respondent
Researcher;Descriptive;Respondent
Human;Descriptive;Respondent
Human;Descriptive;Data
Researcher;Descriptive;Meta
Human_Researcher;Descriptive;Respondent
Human_Researcher;Descriptive;Meta
Human_Researcher;Descriptive;mixed
Human_Researcher;Descriptive;Respondent
Human;Solution;mixed
Human_Researcher;Solution;mixed
Human_Researcher;Descriptive;Respondent
Human_Researcher;Descriptive;Data
Researcher;Descriptive;Data
Human;Descriptive;Respondent
Researcher;Descriptive;Meta
Human_Researcher;Solution;Lab
Human;Descriptive;Data
Human_System;Solution;Field
Human;Descriptive;mixed
Human;Descriptive;Data
Human_Researcher;Descriptive;Lab
System;Solution;Lab
Human;Solution;mixed
Human;Descriptive;mixed
System;Solution;Lab
System;Solution;Data
Human_Researcher;Descriptive;mixed
Human_Researcher;Descriptive;Meta
Human_System;Solution;Lab
Human;Descriptive;Data
Researcher;Descriptive;Meta
Human;Solution;mixed
Human;Descriptive;Data
Human;Solution;Lab
Human_Researcher;Descriptive;Meta
Researcher;Descriptive;Respondent
Human;Descriptive;mixed
Human;Descriptive;Respondent
Researcher;Descriptive;mixed
Human_Researcher;Descriptive;Data
Human_Researcher;Solution;Data
Human_Researcher;Descriptive;Respondent
Human;Solution;Lab
Human_Researcher;Descriptive;Data
System;Solution;Respondent
Human;Solution;Lab
Human_Researcher;Descriptive;Meta
Human_Researcher;Descriptive;Meta
Human_Researcher;Descriptive;Respondent
Human;Solution;Data
System;Solution;mixed
Human_Researcher;Descriptive;Meta
Researcher;Descriptive;Lab
Human;Descriptive;Respondent
Human;Descriptive;Respondent
Researcher;Descriptive;Respondent
Researcher;Descriptive;Respondent
Human;Descriptive;mixed
Human_Researcher;Descriptive;Meta
Human_System;Solution;Lab
Human;Descriptive;Respondent
Human_Researcher;Solution;Lab
System_Researcher;Solution;Lab
Researcher;Solution;Data
Human_Researcher;Solution;Data
Human;Solution;mixed